Year,Approx_date,Area,City,Author,Title,Language,Ms.,Printer,External_link,Source,Location,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1,Italy,,"Anonymous, Fibonacci","Tractato dell'arismetrica, Liber Abaci (frag)",Italian and Latin,1,,,Van Egmond (1980),"Florence, Biblioteca Riccardiana, Ricc 2252, fols. 70-155","Operations, misc business and recreational problems, false position, algebra, radicals. Fols 72r-142r are a transcription and partial translation in Italian of Fibonacci's Liber Abaci (chapters 12-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1,Italy,Pisa,"Anonymous, Fibonacci",Savasorra idest libro di gemetria (Volgarizzamento della Practica geometriae di Leonardo Pisano),Italian (Pisan),1,,,"Ovi data. See Francesco Feola, Gli esordi della geometria in volgare. Un volgarizzamento trecentesco della Practica Geometriae di Leonardo Pisano, Firenze, Accademia della Crusca, 2008 [testo pp. 35-110].","NA. Published in Francesco Feola, Gli esordi della geometria in volgare. Un volgarizzamento trecentesco della Practica Geometriae di Leonardo Pisano, Firenze, Accademia della Crusca, 2008 [testo pp. 35-110].",Vulgarisation of the Practica Geometriae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIV_med,1,Italy,,"Anonymous, Fibonacci, Gerardo da Cremona, P. de R. da Genova","[Tractatus de abbaci]. [Fibonacci, Liber Flos (Liber abaci, chapter 14)]. Ps-Gerardus Cremonensis, Liber Algebra et almucabala. [Fibonacci, Liber abaci, chapter 15 parts 1 and 3].  P. de R. da Genova, Tractatus super practicam geometrie",Latin,1,,,Van Egmond (1980),"Città del Vaticano, Biblioteca Apostolica Vaticana, Vat. Lat. 4606. Translations in Urb. Lat. 291; Ricc. 2252/I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIV_med,1,Italy,,Anonymous,Opus arithmetice (frag),Italian,1,,,Van Egmond (1980),"Florence, Biblioteca Nazionale Centrale, Magl. CI. VIII. 1442, fols 302-311",Fractions and business problems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,1,Italy,Florence,Anonymous,Alchuna ragione; [Trattato della maniera di assaggiare]; Arte di misura,Italian,1,,,Van Egmond (1980),"Venice, Biblioteca Nazionale Marciana, Ital. IX. 18","Alchuna ragione: misc problems, algebra, geometrical problems, recreational problems, calendar circle. [Trattato della maniera di assaggiare]: List of silver and gold coins. Arte di misura: misc problems and calendar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,1,Italy,,Anonymous,Tractatus arismetice; Pratica dela geumetria,Italian,1,,,Van Egmond (1980),"Città del Vaticano, Biblioteca Apostolica Vaticana, Ross. 729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,1,Italy,,Anonymous,Trattato dell'alcibra amuchabile,Italian,1,,,"Van Egmond (1980), Franci-Toti Rigatelli (1988) in Mathematics from manuscript to print 1300-1600, Bacchelli (2012)","Florence, Biblioteca Riccardiana, Ricc. 2263, fols. 24-50","Radicals, 24 equation types with examples, misc problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,0,Italy,,Giovanni de Danti d'Arezzo,Tractato dell'algorisimo; Tractato del arte dela geumetria; Tractatus quadrantis; Tractatus dele pianete; Tariffa,Italian,1,,,"Van Egmond (1980), Franci-Toti Rigatelli (1988) in Mathematics from manuscript to print 1300-1600, published in G. Arrighi, in “Atti dell’Accademia Petrarca di Arezzo”, 1985","Florence, Biblioteca Mediceo-Laurenziana. Plut. 30, 26","Tractato dell'algorisimo (reference to Boethius, basic operations, fractions, business problems, recreational problems, tariffs, weights, measures, buying and selling); Tractato del arte dela geumetria (geometrical figures, measurement); Tractatus quadrantis (calendars and zodiac); Tractatus dele pianete (reference to Ptolemy); Tariffa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,1,Italy,Venice,Anonymous,[Zibaldone da Canal],Italian (Venetian),1,,,Van Egmond (1980),"New Haven, Yale University, Beinecke Library, Ms. 327. Published by Stussi, A., et al. (1967). Zibaldone da Canal : Manoscritto mercantile del sec. XIV","Tables of multiplication and exchange, miscellaneous ragioni. cloths in Venice, tariffs in Venice, Roman of Tristan, spices, astronomy, chronicle of Venice, serventese, tariffs in Armenia, medicine (bloodletting), sayings (proverbi). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,1,Italy,,Anonymous,Il tractato della spera,Italian,1,,,Van Egmond (1980),"Florence, Biblioteca Nazionale Centrale, Fond. Naz. II. III. 198, fols. 147-165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
